ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
5283,Bloom Blush Planter - Set Of Two,Metal,799,https://vaaree.com/products/bloom-blush-planter-set-of-two,2999,74,2025-03-15,Artificial Flowers & Plants,0,5
5228,Smiley Swing Planter,Resin,890,https://vaaree.com/products/smiley-swing-planter,990,11,2025-03-10,Artificial Flowers & Plants,5,2
4117,(Coffee & White) Faux Pampas Grass Sticks (45.7 cms) - Set Of Six,Plastic,899,https://vaaree.com/products/faux-pampas-grass-sticks-coffee-white-set-of-six,3200,72,2025-03-10,Artificial Flowers & Plants,4,1
3938,Faux Tropic Anthurium Silk Plant With Pot - 2.13 ft,Pvc,959,https://vaaree.com/products/faux-tropic-anthurium-silk-plant-with-pot,1750,46,2025-03-10,Artificial Flowers & Plants,3,3
5804,Faux Purple Flower Vine With Metal Wall Stand,Plastic,699,https://vaaree.com/products/faux-purple-flower-vine-with-metal-wall-stand,1299,47,2025-03-10,Artificial Flowers & Plants,5,2
2984,Goldo Glamour Planter - Set Of Two,Metal,699,https://vaaree.com/products/goldo-glamour-planter-set-of-two,2699,75,2025-03-15,Artificial Flowers & Plants,0,3
3468,Artificial White Baby's Breath - Set Of Three,Plastic,600,https://vaaree.com/products/artificial-white-babys-breath-set-of-three,2000,70,2025-03-10,Artificial Flowers & Plants,0,10
1993,Dalfol Solawood Floral Basket,Cane,1910,https://vaaree.com/products/dalfol-solawood-floral-basket,2990,37,2025-03-10,Artificial Flowers & Plants,0,4
2219,Paradise Finesse Planter - Set Of Two,Metal,799,https://vaaree.com/products/paradise-finesse-planter-set-of-two,2999,74,2025-03-15,Artificial Flowers & Plants,0,10
4027,Ivera Dune Planter (Green) - Set Of Three,Metal,752,https://vaaree.com/products/ivera-dune-planter-green-set-of-three,2699,73,2025-03-15,Artificial Flowers & Plants,0,6
8330,Naturally Dried Pampas And Bunny Tail Flower Bunch - Set Of Fifteen,Dried Flowers & Leaves,1452,https://vaaree.com/products/naturally-dried-pampas-and-bunny-tail-flower-bunch-set-of-fifteen,1742,17,2025-03-10,Artificial Flowers & Plants,0,2
1756,Star Gypsophila Floral Bush (Blue) - Set Of Six,Silk,770,https://vaaree.com/products/star-floral-bush-blue-set-of-six,2000,62,2025-03-10,Artificial Flowers & Plants,5,1
4374,Naturally Dried Daisy Flower Bunch - Set Of Thirty,Dried Flowers & Leaves,1161,https://vaaree.com/products/naturally-dried-daisy-flower-bunch-set-of-thirty,1290,10,2025-03-10,Artificial Flowers & Plants,3,1
6458,Faux Green Palm Plant With Pot - 2.62 ft,Pvc,1099,https://vaaree.com/products/faux-green-banana-plant-with-pot,1500,27,2025-03-10,Artificial Flowers & Plants,0,5
5342,Pebble Play Vase - White,Ceramic,398,https://vaaree.com/products/pebble-play-vase-white,919,57,2025-03-10,Artificial Flowers & Plants,0,3
7586,Naturally Dried Pampas Stems (Brown) - Set Of Ten,Dried Flowers & Leaves,1368,https://vaaree.com/products/naturally-dried-pampas-stems-brown-set-of-ten,1642,17,2025-03-10,Artificial Flowers & Plants,1,1
6610,Hydrangia Floral Stick - White,Silk,0,https://vaaree.com/products/hydrangia-floral-stick-white,1000,70,2025-03-10,Artificial Flowers & Plants,0,0
2540,Faux Pink Flower Vine With Metal Wall Stand,Plastic,699,https://vaaree.com/products/faux-pink-flower-vine-with-metal-wall-stand,1299,47,2025-03-10,Artificial Flowers & Plants,0,6
1893,Faux Dracaena Bonsai (24 cms) - Green,Fabric,917,https://vaaree.com/products/faux-dracaena-bonsai-green,1500,39,2025-03-14,Artificial Flowers & Plants,4,1
7627,Faux Realistic Fiddle Leaf Fig Plant With Black Plastic Pot - 3.9 Feet,Pvc,3999,https://vaaree.com/products/faux-realistic-fiddle-leaf-fig-plant-with-pot-3-9-feet,4499,12,2025-03-10,Artificial Flowers & Plants,5,1
7894,Faux Green Areca Palm Plant With Pot - 2.79 ft,Dried Flowers & Leaves,1124,https://vaaree.com/products/faux-green-areca-palm-plant-with-pot,2000,44,2025-03-10,Artificial Flowers & Plants,0,12
8071,Naturally Dried Gypsophila Baby Breath Stems (White) - Set Of Five,Plastic,1469,https://vaaree.com/products/naturally-dried-baby-breath-stems-white-set-of-five,1763,17,2025-03-10,Artificial Flowers & Plants,3,2
5509,Faux Yellow Flower Vine With Metal Wall Stand,Metal,699,https://vaaree.com/products/faux-yellow-flower-vine-with-metal-wall-stand,1299,47,2025-03-10,Artificial Flowers & Plants,3,2
5869,Elitta Ethnic Handcrafted Planter - Set Of Three,Unknown,896,https://vaaree.com/products/elitta-ethnic-handcrafted-planter-set-of-three,3199,72,2025-03-15,Artificial Flowers & Plants,5,1
6753,Oceane Wooden Tall Candle Stand - Set Of Two,Wood,1299,https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,4800,73,2025-03-10,Candle Stand & Holders,5,2
3026,Tribal Bonfire Tealight Candle Holder,Metal,1139,https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,2321,51,2025-03-15,Candle Stand & Holders,5,1
1940,Little Budha Smoke Fountain - Blue,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-blue,2999,91,2025-03-10,Candle Stand & Holders,1,3
5139,Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,1292,34,2025-03-15,Candle Stand & Holders,0,10
9430,Kantha Incense Stick Holder,Brass,280,https://vaaree.com/products/kantha-incense-stick-holder,599,54,2025-03-10,Candle Stand & Holders,0,10
2961,Sino Ethnic Tealight Candle Holder,Iron,499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,749,34,2025-03-15,Candle Stand & Holders,0,4
7167,Butterfly Shadow Tealight Candle Holder - Set Of Four,Metal,379,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,699,46,2025-03-15,Candle Stand & Holders,4,1
8915,Multicolor Tealight Candle Holders - Set Of Ten,Glass,599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,719,17,2025-03-10,Candle Stand & Holders,1,1
6226,Nega Incense Burner - White,Resin,799,https://vaaree.com/products/nega-incense-burner-white,1099,28,2025-03-10,Candle Stand & Holders,0,10
7013,Mitra Brass Incense Stick Holder,Brass,1113,https://vaaree.com/products/mitra-brass-incense-stick-holder,1855,40,2025-03-10,Candle Stand & Holders,0,2
6834,Lord Ganesha Smoke Fountain,Polyresin,340,https://vaaree.com/products/lord-ganesha-smoke-fountain,2999,89,2025-03-10,Candle Stand & Holders,0,10
8986,Little Budha Smoke Fountain - Yellow,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-yellow,2999,91,2025-03-10,Candle Stand & Holders,0,4
