Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Bloom Blush Planter - Set Of Two,Metal,₹799,https://vaaree.com/products/bloom-blush-planter-set-of-two,"₹2,999",74% off,Delivery Tomorrow,Artificial Flowers & Plants,4.2,5 Reviews
Smiley Swing Planter,Resin,₹890,https://vaaree.com/products/smiley-swing-planter,₹990,11% off,"Mon, 10th Mar",Artificial Flowers & Plants,5,2 Reviews
(Coffee & White) Faux Pampas Grass Sticks (45.7 cms) - Set Of Six,Plastic,₹899,https://vaaree.com/products/faux-pampas-grass-sticks-coffee-white-set-of-six,"₹3,200",72% off,"Mon, 10th Mar",Artificial Flowers & Plants,4,1 Reviews
Faux Tropic Anthurium Silk Plant With Pot - 2.13 ft,PVC,₹959,https://vaaree.com/products/faux-tropic-anthurium-silk-plant-with-pot,"₹1,750",46% off,"Mon, 10th Mar",Artificial Flowers & Plants,3,3 Reviews
Faux Purple Flower Vine With Metal Wall Stand,Plastic,₹699,https://vaaree.com/products/faux-purple-flower-vine-with-metal-wall-stand,"₹1,299",47% off,"Mon, 10th Mar",Artificial Flowers & Plants,5,2 Reviews
Goldo Glamour Planter - Set Of Two,Metal,₹699,https://vaaree.com/products/goldo-glamour-planter-set-of-two,"₹2,699",75% off,Delivery Tomorrow,Artificial Flowers & Plants,3.3,3 Reviews
Artificial White Baby's Breath - Set Of Three,Plastic,₹600,https://vaaree.com/products/artificial-white-babys-breath-set-of-three,"₹2,000",70% off,"Mon, 10th Mar",Artificial Flowers & Plants,Inclusive of all taxes,Orders more than 10 Items?
Dalfol Solawood Floral Basket,Cane,"₹1,910",https://vaaree.com/products/dalfol-solawood-floral-basket,"₹2,990",37% off,"Mon, 10th Mar",Artificial Flowers & Plants,4.8,4 Reviews
Paradise Finesse Planter - Set Of Two,Metal,₹799,https://vaaree.com/products/paradise-finesse-planter-set-of-two,"₹2,999",74% off,Delivery Tomorrow,Artificial Flowers & Plants,Inclusive of all taxes,Orders more than 10 Items?
Ivera Dune Planter (Green) - Set Of Three,Metal,₹752,https://vaaree.com/products/ivera-dune-planter-green-set-of-three,"₹2,699",73% off,Delivery Tomorrow,Artificial Flowers & Plants,3.5,6 Reviews
Naturally Dried Pampas And Bunny Tail Flower Bunch - Set Of Fifteen,Dried Flowers & Leaves,"₹1,452",https://vaaree.com/products/naturally-dried-pampas-and-bunny-tail-flower-bunch-set-of-fifteen,"₹1,742",17% off,"Mon, 10th Mar",Artificial Flowers & Plants,1.5,2 Reviews
Star Gypsophila Floral Bush (Blue) - Set Of Six,Silk,₹770,https://vaaree.com/products/star-floral-bush-blue-set-of-six,"₹2,000",62% off,"Mon, 10th Mar",Artificial Flowers & Plants,5,1 Reviews
Naturally Dried Daisy Flower Bunch - Set Of Thirty,Dried Flowers & Leaves,"₹1,161",https://vaaree.com/products/naturally-dried-daisy-flower-bunch-set-of-thirty,"₹1,290",10% off,"Mon, 10th Mar",Artificial Flowers & Plants,3,1 Reviews
Faux Green Palm Plant With Pot - 2.62 ft,PVC,"₹1,099",https://vaaree.com/products/faux-green-banana-plant-with-pot,"₹1,500",27% off,"Mon, 10th Mar",Artificial Flowers & Plants,2.2,5 Reviews
Pebble Play Vase - White,Ceramic,₹398,https://vaaree.com/products/pebble-play-vase-white,₹919,57% off,"Mon, 10th Mar",Artificial Flowers & Plants,3.3,3 Reviews
Naturally Dried Pampas Stems (Brown) - Set Of Ten,Dried Flowers & Leaves,"₹1,368",https://vaaree.com/products/naturally-dried-pampas-stems-brown-set-of-ten,"₹1,642",17% off,"Mon, 10th Mar",Artificial Flowers & Plants,1,1 Reviews
Hydrangia Floral Stick - White,Silk,From ₹307,https://vaaree.com/products/hydrangia-floral-stick-white,"₹1,000",70% off,"Mon, 10th Mar",Artificial Flowers & Plants,Inclusive of all taxes,One
Faux Pink Flower Vine With Metal Wall Stand,Plastic,₹699,https://vaaree.com/products/faux-pink-flower-vine-with-metal-wall-stand,"₹1,299",47% off,"Mon, 10th Mar",Artificial Flowers & Plants,3.8,6 Reviews
Faux Dracaena Bonsai (24 cms) - Green,Fabric,₹917,https://vaaree.com/products/faux-dracaena-bonsai-green,"₹1,500",39% off,Delivery Today,Artificial Flowers & Plants,4,1 Reviews
Faux Realistic Fiddle Leaf Fig Plant With Black Plastic Pot - 3.9 Feet,PVC,"₹3,999",https://vaaree.com/products/faux-realistic-fiddle-leaf-fig-plant-with-pot-3-9-feet,"₹4,499",12% off,"Mon, 10th Mar",Artificial Flowers & Plants,5,1 Reviews
Faux Green Areca Palm Plant With Pot - 2.79 ft,Dried Flowers & Leaves,"₹1,124",https://vaaree.com/products/faux-green-areca-palm-plant-with-pot,"₹2,000",44% off,"Mon, 10th Mar",Artificial Flowers & Plants,3.6,12 Reviews
Naturally Dried Gypsophila Baby Breath Stems (White) - Set Of Five,Plastic,"₹1,469",https://vaaree.com/products/naturally-dried-baby-breath-stems-white-set-of-five,"₹1,763",17% off,"Mon, 10th Mar",Artificial Flowers & Plants,3,2 Reviews
Faux Yellow Flower Vine With Metal Wall Stand,Metal,₹699,https://vaaree.com/products/faux-yellow-flower-vine-with-metal-wall-stand,"₹1,299",47% off,"Mon, 10th Mar",Artificial Flowers & Plants,3,2 Reviews
Elitta Ethnic Handcrafted Planter - Set Of Three,,₹896,https://vaaree.com/products/elitta-ethnic-handcrafted-planter-set-of-three,"₹3,199",72% off,Delivery Tomorrow,Artificial Flowers & Plants,5,1 Reviews
