Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Zeus Wall Clock,Plastic,₹699,https://vaaree.com/products/zeus-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,4.4,30 Reviews
Nikita Sweep Silent Wall Clock,Plastic,₹699,https://vaaree.com/products/nikita-sweep-silent-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,3.7,3 Reviews
Norva Floral Wall Clock,Iron,"₹1,947",https://vaaree.com/products/norva-floral-wall-clock,"₹2,920",34% off,Delivery Tomorrow,Clocks,1.6,7 Reviews
Wooden Wonder Wall Clock,Plastic,₹699,https://vaaree.com/products/wooden-wonder-wall-clock,"₹1,499",54% off,"Mon, 10th Mar",Clocks,1,1 Reviews
Yvonne Printed Silent Wall Clock,Plastic,₹699,https://vaaree.com/products/yvonne-sweep-silent-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,2.1,17 Reviews
Ocea Wall Clock,Iron,"₹1,099",https://vaaree.com/products/ocea-wall-clock,"₹1,649",34% off,Delivery Tomorrow,Clocks,1.7,6 Reviews
Maris Sweep Silent Wall Clock,Plastic,₹699,https://vaaree.com/products/maris-sweep-silent-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,1,3 Reviews
Artistic Wall Clock - Brown,Plastic,₹999,https://vaaree.com/products/artistic-wall-clock-brown,"₹1,499",34% off,"Mon, 10th Mar",Clocks,3.5,11 Reviews
Full Maverick Wall Clock,Wood,₹749,https://vaaree.com/products/full-maverick-wall-clock,"₹3,495",79% off,"Mon, 10th Mar",Clocks,3.5,2 Reviews
Calypso Table Clock - Black,Aluminum,"₹2,325",https://vaaree.com/products/calypso-table-clock-black,"₹3,125",26% off,"Mon, 10th Mar",Clocks,5,1 Reviews
Classic Charm Wall Clock,Plastic,₹699,https://vaaree.com/products/classic-charm-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,3.2,5 Reviews
Soren Sweep Silent Wall Clock,Plastic,₹699,https://vaaree.com/products/soren-sweep-silent-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,3,1 Reviews
Alice Table Clock,Aluminum,"₹4,400",https://vaaree.com/products/alice-table-clock,"₹5,280",17% off,"Mon, 10th Mar",Clocks,Inclusive of all taxes,with 1 offer
Dolva Double Sided Station Clock - Black,Metal,"₹1,520",https://vaaree.com/products/dolva-double-sided-station-clock-black,"₹2,095",28% off,"Mon, 10th Mar",Clocks,5,1 Reviews
Linus Table Clock,Metal,"₹1,080",https://vaaree.com/products/linus-table-clock,"₹1,699",37% off,"Mon, 10th Mar",Clocks,5,1 Reviews
Persona Table Clock - Gold,Aluminum,"₹3,302",https://vaaree.com/products/persona-table-clock-gold,"₹4,450",26% off,"Mon, 10th Mar",Clocks,Inclusive of all taxes,with 1 offer
Liam Sweep Silent Wall Clock,Plastic,₹499,https://vaaree.com/products/liam-sweep-silent-wall-clock,"₹1,425",65% off,Delivery Tomorrow,Clocks,Inclusive of all taxes,Orders more than 10 Items?
Leonay Table Clock,Aluminum,"₹2,232",https://vaaree.com/products/leonay-table-clock,"₹3,000",26% off,"Mon, 10th Mar",Clocks,5,1 Reviews
Time Machine Wall Clock,Plastic,₹699,https://vaaree.com/products/time-machine-wall-clock,"₹1,499",54% off,Delivery Tomorrow,Clocks,1.9,9 Reviews
Moonkiss Wall Clock,Plastic,"₹1,050",https://vaaree.com/products/moonkiss-wall-clock,"₹2,100",50% off,"Mon, 10th Mar",Clocks,1,1 Reviews
Calypso Table Clock - Gold,Aluminum,"₹2,325",https://vaaree.com/products/calypso-table-clock-gold,"₹3,125",26% off,"Mon, 10th Mar",Clocks,5,3 Reviews
Flora Stell Wall Clock,Iron,"₹2,142",https://vaaree.com/products/flora-stell-wall-clock,"₹3,213",34% off,Delivery Tomorrow,Clocks,1,1 Reviews
Ondene Flower Wall Clock,Iron,"₹1,890",https://vaaree.com/products/ondene-flower-wall-clock,"₹2,849",34% off,Delivery Tomorrow,Clocks,1,1 Reviews
Neto Wall Clock,Metal,₹940,https://vaaree.com/products/neto-wall-clock,"₹1,435",35% off,"Mon, 10th Mar",Clocks,1,1 Reviews
