Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Fionna Carved Table Lamp,Fabric Shade,"₹1,279",https://vaaree.com/products/fionna-carved-table-lamp,"₹3,200",60% off,"Mon, 10th Mar",Lamps & Lighting,3.7,11 Reviews
Warm Glow Curtain Lights,Plastic,₹799,https://vaaree.com/products/warm-glow-curtain-lights,"₹2,500",68% off,"Mon, 10th Mar",Lamps & Lighting,5,3 Reviews
Rose Elegance String Light,Foam,₹399,https://vaaree.com/products/rose-elegance-string-light,"₹1,200",67% off,"Mon, 10th Mar",Lamps & Lighting,4.3,9 Reviews
Amina Wall Lamp,Metal Shade,₹849,https://vaaree.com/products/amina-wall-lamp,"₹2,000",58% off,"Mon, 10th Mar",Lamps & Lighting,3.8,8 Reviews
Lueur Table Lamp - Beige,Fabric Shade,"₹1,499",https://vaaree.com/products/lueur-table-lamp-beige,"₹3,200",54% off,"Mon, 10th Mar",Lamps & Lighting,4.4,5 Reviews
Saffia Table Lamp,Fabric Shade,₹799,https://vaaree.com/products/saffia-table-lamp,"₹1,799",56% off,"Mon, 10th Mar",Lamps & Lighting,3.2,5 Reviews
Adiah Wall Lamp,Glass Shade,"₹1,117",https://vaaree.com/products/adiah-wall-lamp,"₹2,900",62% off,"Mon, 10th Mar",Lamps & Lighting,5,4 Reviews
Mystne Ceiling Lamp - Large,Rattan Shade,"₹1,279",https://vaaree.com/products/mystne-ceiling-lamp-large,"₹5,000",75% off,"Mon, 10th Mar",Lamps & Lighting,5,3 Reviews
Moon Gooseneck Moon Wall  Lamp - Set Of Two,Glass Shade,₹759,https://vaaree.com/products/moon-gooseneck-wall-lamp-set-of-two,"₹2,500",70% off,"Mon, 10th Mar",Lamps & Lighting,4.2,16 Reviews
Modern Haveli Lantern,Glass Shade,"₹1,096",https://vaaree.com/products/modern-haveli-lantern,"₹3,300",67% off,"Mon, 10th Mar",Lamps & Lighting,4,7 Reviews
Dapper Diamond Wall Lamp - Black,Metal Shade,₹547,https://vaaree.com/products/dapper-diamond-wall-lamp-black,"₹1,800",70% off,"Mon, 10th Mar",Lamps & Lighting,1,1 Reviews
Eclipse Wall Lamp,Glass Shade,₹816,https://vaaree.com/products/eclipse-wall-lamp,"₹2,000",60% off,"Mon, 10th Mar",Lamps & Lighting,3.7,6 Reviews
Tall Tales Blue Wood Table Lamp,Fabric Shade,"₹1,425",https://vaaree.com/products/tall-tales-blue-wood-table-lamp,"₹5,000",72% off,"Mon, 10th Mar",Lamps & Lighting,5,1 Reviews
Gracie Bell Black Table Lamp,Fabric Shade,₹649,https://vaaree.com/products/gracie-bell-black-table-lamp,"₹2,450",74% off,"Mon, 10th Mar",Lamps & Lighting,3.3,3 Reviews
Knox Table Lamp - Beige,Fabric Shade,₹657,https://vaaree.com/products/knox-table-lamp-beige,"₹2,400",73% off,"Mon, 10th Mar",Lamps & Lighting,5,1 Reviews
Amber Bubble Table Lamp,Fabric Shade,"₹1,179",https://vaaree.com/products/amber-bubble-table-lamp,"₹5,000",77% off,"Mon, 10th Mar",Lamps & Lighting,4.2,6 Reviews
Boho Fauna Dome Table Lamp,Fabric Shade,"₹1,322",https://vaaree.com/products/boho-fauna-dome-table-lamp,"₹2,350",44% off,"Mon, 10th Mar",Lamps & Lighting,5,1 Reviews
Fancy Pants Table Lamp,Fabric Shade,"₹1,989",https://vaaree.com/products/fancy-pants-table-lamp,"₹2,800",29% off,"Mon, 10th Mar",Lamps & Lighting,4.3,6 Reviews
Fiza Etched Table Lamp - Green,Fabric Shade,"₹1,520",https://vaaree.com/products/fiza-etched-table-lamp-green,"₹3,000",50% off,"Mon, 10th Mar",Lamps & Lighting,4.7,7 Reviews
Pendant Wall Lamp,Glass Shade,"₹1,199",https://vaaree.com/products/pendant-wall-lamp,"₹4,000",70% off,"Mon, 10th Mar",Lamps & Lighting,4.4,7 Reviews
Lucille Moon LED Ceiling Lamp,Glass Shade,"₹1,199",https://vaaree.com/products/lucille-ceiling-lamp,"₹2,100",43% off,"Mon, 10th Mar",Lamps & Lighting,2,1 Reviews
Enchanted String Lights - Set Of Four,Metal,₹296,https://vaaree.com/products/enchanted-string-lights-set-of-four,"₹1,400",79% off,"Mon, 10th Mar",Lamps & Lighting,2.3,4 Reviews
Atmosfera Ceramic LED Table Lamp - Orange,Fabric,"₹1,499",https://vaaree.com/products/atmosa-ceramic-table-lamp-peach,"₹2,199",32% off,"Mon, 10th Mar",Lamps & Lighting,4.7,13 Reviews
Imane Wall Lamp,Metal Shade,"₹1,159",https://vaaree.com/products/imane-wall-lamp,"₹2,500",54% off,"Mon, 10th Mar",Lamps & Lighting,2.8,4 Reviews
