Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Rosselia Wall Mirror,Iron,"₹1,874",https://vaaree.com/products/rosselia-wall-mirror,"₹2,610",29% off,Delivery Tomorrow,Mirrors,5,1 Reviews
Sufiya Wall Mirror,Iron,"₹1,155",https://vaaree.com/products/sufiya-wall-mirror,"₹1,733",34% off,Delivery Tomorrow,Mirrors,5,1 Reviews
Maku Wall Mirror - Brown,Iron,"₹1,218",https://vaaree.com/products/maku-wall-mirror-brown,"₹1,827",34% off,Delivery Tomorrow,Mirrors,5,2 Reviews
Rados Charme Wall Mirror,Iron,"₹1,349",https://vaaree.com/products/rados-charme-wall-mirror,"₹2,024",34% off,Delivery Tomorrow,Mirrors,3.7,3 Reviews
Floro Finesse Wall Mirror,Iron,"₹1,575",https://vaaree.com/products/floro-finesse-wall-mirror,"₹2,363",34% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Flora Macrame Wall Mirror - Mustard,Cotton,"₹1,099",https://vaaree.com/products/flora-macrame-wall-mirror-maroon,"₹1,199",9% off,"Mon, 10th Mar",Mirrors,4,1 Reviews
Aurum Drip Decorative Wall Mirror,Wood,"From ₹3,232",https://vaaree.com/products/aurum-drip-decorative-wall-mirror,"₹4,999",36% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Maku Wall Mirror - Tan,Iron,"₹1,176",https://vaaree.com/products/maku-wall-mirror-tan,"₹1,764",34% off,Delivery Tomorrow,Mirrors,1,1 Reviews
Nisha Vintage Hand Mirror,Aluminum,₹399,https://vaaree.com/products/nisha-vintage-hand-mirror,₹699,43% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,Orders more than 10 Items?
Omia Blossom Wall Mirror,Iron,"₹1,701",https://vaaree.com/products/omia-blossom-wall-mirror,"₹2,370",29% off,Delivery Tomorrow,Mirrors,1,1 Reviews
Rose Blush Wall Mirror,Iron,"₹2,025",https://vaaree.com/products/rose-blush-wall-mirror,"₹2,820",29% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Jeneva Wall Mirror - Set Of Two,Iron,"₹1,554",https://vaaree.com/products/jeneva-wall-mirror-set-of-two,"₹2,331",34% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Celestia Wall Mirror,Wood,"From ₹3,638",https://vaaree.com/products/celestia-wall-mirror,"₹6,999",48% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Arch Reflect Wall Mirror,Wood,"₹4,106",https://vaaree.com/products/arch-reflect-wall-mirror,"₹10,999",63% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Jharokha Reflections Wall Mirror,Wood,"₹3,694",https://vaaree.com/products/jharokha-reflections-wall-mirror,"₹8,999",59% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Grama Bloom Wall Mirror,Iron,"₹1,981",https://vaaree.com/products/grama-bloom-wall-mirror,"₹2,760",29% off,Delivery Tomorrow,Mirrors,3,1 Reviews
Solea Wall Mirror,Wood,"From ₹4,106",https://vaaree.com/products/solea-wall-mirror-1,"₹9,999",59% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Aeliana Wall Mirror - Set Of Three,Wood,"₹5,556",https://vaaree.com/products/aeliana-wall-mirror-set-of-three,"₹11,999",54% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Briella Wall Mirror - Set Of Four,Wood,"₹1,066",https://vaaree.com/products/briella-wall-mirror-set-of-four,"₹4,000",74% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,Orders more than 10 Items?
Roshera Bloom Wall Mirror,Iron,"₹1,917",https://vaaree.com/products/roshera-bloom-wall-mirror,"₹2,670",29% off,Delivery Tomorrow,Mirrors,Inclusive of all taxes,with 1 offer
Greek Key Reflection Decorative Wall Mirror - Brown,Wood,"From ₹3,508",https://vaaree.com/products/greek-key-reflection-decorative-wall-mirror-brown,"₹6,999",50% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Hexaga Fuse Mirror,Iron,"₹4,999",https://vaaree.com/products/hexaga-fuse-mirror,"₹5,999",17% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Artiya Bloom Wall Mirror,Iron,"₹2,025",https://vaaree.com/products/artiya-bloom-wall-mirror,"₹2,820",29% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
Pontus Wall Mirror,Wood,"From ₹3,560",https://vaaree.com/products/pontus-wall-mirror-1,"₹5,999",41% off,"Mon, 10th Mar",Mirrors,Inclusive of all taxes,with 1 offer
