Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Oceane Wooden Tall Candle Stand - Set Of Two,Wood,"₹1,299",https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,"₹4,800",73% off,"Mon, 10th Mar",Religious & Spiritual Items,5,2 Reviews
Tribal Bonfire Tealight Candle Holder,Metal,"₹1,139",https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,"₹2,321",51% off,Delivery Tomorrow,Religious & Spiritual Items,5,1 Reviews
Little Budha Smoke Fountain - Blue,Polyresin,₹280,https://vaaree.com/products/little-budha-smoke-fountain-blue,"₹2,999",91% off,"Mon, 10th Mar",Religious & Spiritual Items,1,3 Reviews
Holy Cowbell Toran,Metal,₹375,https://vaaree.com/products/holy-cowbell-toran,₹899,59% off,"Mon, 10th Mar",Religious & Spiritual Items,5,1 Reviews
Shubhlabh Pooja Thali Set,German Silver,"₹2,625",https://vaaree.com/products/shubhlabh-pooja-thali-set,"₹3,938",34% off,Delivery Tomorrow,Religious & Spiritual Items,3,2 Reviews
Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,₹861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,"₹1,292",34% off,Delivery Tomorrow,Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Kantha Incense Stick Holder,Brass,₹280,https://vaaree.com/products/kantha-incense-stick-holder,₹599,54% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Divine Natraj Idol,Aluminum,₹399,https://vaaree.com/products/divine-natraj-idol,₹799,51% off,"Mon, 10th Mar",Religious & Spiritual Items,3,1 Reviews
Sugandha White Sage Smudge Incense Sticks - Pack Of Two,Aluminum,₹180,https://vaaree.com/products/sugandha-white-sage-smudge-incense-sticks-pack-of-two,₹199,10% off,"Mon, 10th Mar",Religious & Spiritual Items,5,1 Reviews
Mayoor Bless Diya,Iron,₹315,https://vaaree.com/products/mayoor-bless-diya,₹799,61% off,"Mon, 10th Mar",Religious & Spiritual Items,5,1 Reviews
Tripti Decorative Urli,Iron,₹784,https://vaaree.com/products/tripti-decorative-urli,"₹1,176",34% off,Delivery Tomorrow,Religious & Spiritual Items,4.5,4 Reviews
Sino Ethnic Tealight Candle Holder,Metal,₹499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,₹749,34% off,Delivery Tomorrow,Religious & Spiritual Items,4.5,4 Reviews
Holy Chakra Latkan,Metal,₹375,https://vaaree.com/products/holy-chakra-latkan,₹899,59% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Butterfly Shadow Tealight Candle Holder - Set Of Four,Polyresin,₹379,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,₹699,46% off,Delivery Tomorrow,Religious & Spiritual Items,4,1 Reviews
Sacred Adiyogi Idol,Glass,₹240,https://vaaree.com/products/sacred-adiyogi-idol,₹899,74% off,"Mon, 10th Mar",Religious & Spiritual Items,1,2 Reviews
Zen Breeze Scented Incense Sticks - Pack Of Four,Resin,₹275,https://vaaree.com/products/zen-breeze-scented-incense-sticks-pack-of-four,₹400,32% off,"Mon, 10th Mar",Religious & Spiritual Items,4,1 Reviews
Multicolor Tealight Candle Holders - Set Of Ten,Brass,₹599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,₹719,17% off,"Mon, 10th Mar",Religious & Spiritual Items,1,1 Reviews
Nega Incense Burner - White,Brass,₹799,https://vaaree.com/products/nega-incense-burner-white,"₹1,099",28% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Sugandha Herbs & Flowers Smudge Incense Sticks - Pack Of Four,Polyresin,₹340,https://vaaree.com/products/sugandha-herbs-flowers-smudge-incense-sticks-pack-of-four,₹450,25% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,40 Incense Sticks (4 Packs)
Mitra Brass Incense Stick Holder,Polyresin,"₹1,113",https://vaaree.com/products/mitra-brass-incense-stick-holder,"₹1,855",40% off,"Mon, 10th Mar",Religious & Spiritual Items,4.5,2 Reviews
Brass Panchmukhi Hanuman Idol,Brass,₹960,https://vaaree.com/products/brass-panchmukhi-hanuman-idol,"₹1,299",27% off,"Mon, 10th Mar",Religious & Spiritual Items,5,1 Reviews
Shiva Sagar Idol,,₹920,https://vaaree.com/products/shiva-sagar-idol,"₹2,999",70% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Lord Ganesha Smoke Fountain,,₹340,https://vaaree.com/products/lord-ganesha-smoke-fountain,"₹2,999",89% off,"Mon, 10th Mar",Religious & Spiritual Items,Inclusive of all taxes,Orders more than 10 Items?
Om Swastik Brass Diya,,₹340,https://vaaree.com/products/om-swastik-brass-diya,₹499,32% off,"Mon, 10th Mar",Religious & Spiritual Items,2,1 Reviews
